AFGHANISTAN|afghanistan|Afghanistan
ALBANIA|albania|Albania
ALGERIA|algeria|Algeria
ANDORRA|andorra|Andorra
ANGOLA|angola|Angola
ANTARCTICA|antarctica|Antarctica (No, it's not ACTUALLY a country. But I felt like adding it.)
ARGENTINA|argentina|Argentina
ARMENIA|armenia|Armenia
AUSTRALIA|australia|Australia
AUSTRIA|austria|Austria
AZERBAIJAN|azerbaijan|Azerbaijan
BAHAMAS|bahamas|Bahamas
BAHRAIN|bahrain|Bahrain
BANGLADESH|bangladesh|Bangladesh
BARBADOS|barbados|Barbados
BELARUS|belarus|Belarus
BELGIUM|belgium|Belgium
BELIZE|belize|Belize
BENIN|benin|Benin
BHUTAN|bhutan|Bhutan
BOLIVIA|bolivia|Bolivia
BOTSWANA|botswana|Botswana
BRAZIL|brazil|Brazil
BRUNEI|brunei|Brunei
BULGARIA|bulgaria|Bulgaria
BURKINAFASO|burkinafaso|Burkina Faso
BURUNDI|burundi|Burundi
CAMBODIA|cambodia|Cambodia
CAMEROON|cameroon|Cameroon
CANADA|canada|Canada
CHAD|chad|Chad
CHILE|chile|Chile
CHINA|china|China
COLOMBIA|colombia|Colombia
COMOROS|comoros|Comoros
COSTARICA|costarica|Costa Rica
CROATIA|croatia|Croatia
CUBA|cuba|Cuba
CYPRUS|cyprus|Cyprus
CZECHIA|czechia|Czechia
DENMARK|denmark|Denmark
DJIBOUTI|djibouti|Djibouti
DOMINICA|dominica|Dominica
ECUADOR|ecuador|Ecuador
EGYPT|egypt|Egypt
ELSALVADOR|elsalvador|El Salvador
ENGLAND|england|England (One of four countries in The United Kingdom)
ERITREA|eritrea|Eritrea
ESTONIA|estonia|Estonia
ESWATINI|eswatini|Eswatini
ETHIOPIA|ethiopia|Ethiopia
FIJI|fiji|Fiji
FINLAND|finland|Finland
FRANCE|france|France
GABON|gabon|Gabon
GAMBIA|gambia|Gambia
GEORGIA|georgia|Georgia
GERMANY|germany|Germany
GHANA|ghana|Ghana
GREECE|greece|Greece
GREENLAND|greenland|Greenland (Special-status territory of Denmark)
GRENADA|grenada|Grenada
GUATEMALA|guatemala|Guatemala
GUINEA|guinea|Guinea
GUINEABISSAU|guineabissau|Guinea-Bissau
GUYANA|guyana|Guyana
HAITI|haiti|Haiti
HONDURAS|honduras|Honduras
HONGKONG|hongkong|Hong Kong (Special-status territory of China)
HUNGARY|hungary|Hungary
ICELAND|iceland|Iceland
INDIA|india|India
INDONESIA|indonesia|Indonesia
IRAN|iran|Iran
IRAQ|iraq|Iraq
IRELAND|ireland|Ireland
ISLEOFMAN|isleofman|Isle Of Man (Special-status territory of The United Kingdom)
ITALY|italy|Italy
JAMAICA|jamaica|Jamaica
JAPAN|japan|Japan
JORDAN|jordan|Jordan
KAZAKHSTAN|kazakhstan|Kazakhstan
KENYA|kenya|Kenya
KIRIBATI|kiribati|Kiribati
KOSOVO|kosovo|Kosovo
KUWAIT|kuwait|Kuwait
KYRGYZSTAN|kyrgyzstan|Kyrgyzstan
LAOS|laos|Laos
LATVIA|latvia|Latvia
LEBANON|lebanon|Lebanon
LESOTHO|lesotho|Lesotho
LIBERIA|liberia|Liberia
LIBYA|libya|Libya
LIECHTENSTEIN|liechtenstein|Liechtenstein
LITHUANIA|lithuania|Lithuania
LUXEMBOURG|luxembourg|Luxembourg
MADAGASCAR|madagascar|Madagascar
MALAWI|malawi|Malawi
MALAYSIA|malaysia|Malaysia
MALDIVES|maldives|Maldives
MALI|mali|Mali
MALTA|malta|Malta
MAURITANIA|mauritania|Mauritania
MAURITIUS|mauritius|Mauritius
MEXICO|mexico|Mexico
MICRONESIA|micronesia|Micronesia
MOLDOVA|moldova|Moldova
MONACO|monaco|Monaco
MONGOLIA|mongolia|Mongolia
MONTENEGRO|montenegro|Montenegro
MOROCCO|morocco|Morocco
MOZAMBIQUE|mozambique|Mozambique
MYANMAR|myanmar|Myanmar
NAMIBIA|namibia|Namibia
NEPAL|nepal|Nepal
NETHERLANDS|netherlands|The Netherlands
NEWZEALAND|newzealand|New Zealand
NICARAGUA|nicaragua|Nicaragua
NIGER|niger|Niger
NIGERIA|nigeria|Nigeria
NORTHKOREA|northkorea|North Korea (Officially the Democratic Peoples' Republic Of Korea)
NORWAY|norway|Norway
OMAN|oman|Oman
PAKISTAN|pakistan|Pakistan
PALAU|palau|Palau
PALESTINE|palestine|Palestine
PANAMA|panama|Panama
PARAGUAY|paraguay|Paraguay
PERU|peru|Peru
PHILIPPINES|philippines|Philippines
POLAND|poland|Poland
PORTUGAL|portugal|Portugal
PUERTORICO|puertorico|Puerto Rico (Territory of the United States)
QATAR|qatar|Qatar
ROMANIA|romania|Romania
RUSSIA|russia|Russia
RWANDA|rwanda|Rwanda
SAINTLUCIA|saintlucia|Saint Lucia
SAMOA|samoa|Samoa
SANMARINO|sanmarino|San Marino
SAUDIARABIA|saudiarabia|Saudi Arabia
SCOTLAND|scotland|Scotland (One of four countries in The United Kingdom)
SENEGAL|senegal|Senegal
SERBIA|serbia|Serbia
SEYCHELLES|seychelles|Seychelles
SIERRALEONE|sierraleone|Sierra Leone
SINGAPORE|singapore|Singapore
SLOVAKIA|slovakia|Slovakia
SLOVENIA|slovenia|Slovenia
SOMALIA|somalia|Somalia
SOUTHAFRICA|southafrica|South Africa
SOUTHKOREA|southkorea|South Korea (Officially the Republic of Korea)
SOUTHSUDAN|southsudan|South Sudan
SPAIN|spain|Spain
SRILANKA|srilanka|Sri Lanka
SUDAN|sudan|Sudan
SURINAME|suriname|Suriname
SWEDEN|sweden|Sweden
SWITZERLAND|switzerland|Switzerland
SYRIA|syria|Syria
TAIWAN|taiwan|Taiwan
TAJIKISTAN|tajikistan|Tajikistan
TANZANIA|tanzania|Tanzania
THAILAND|thailand|Thailand
TIMORLESTE|timorleste|Timor-Leste
TOGO|togo|Togo
TONGA|tonga|Tonga
TUNISIA|tunisia|Tunisia
TURKMENISTAN|turkmenistan|Turkmenistan
TUVALU|tuvalu|Tuvalu
UGANDA|uganda|Uganda
UKRAINE|ukraine|Ukraine
UNITEDSTATES|unitedstates|United States of America
URUGUAY|uruguay|Uruguay
UZBEKISTAN|uzbekistan|Uzbekistan
VANUATU|vanuatu|Vanuatu
VATICANCITY|vaticancity|Vatican City (also known as the Holy See)
VENEZUELA|venezuela|Venezuela
VIETNAM|vietnam|Vietnam
WALES|wales|Wales (One of four countries in The United Kingdom)
YEMEN|yemen|Yemen
ZAMBIA|zambia|Zambia
ZIMBABWE|zimbabwe|Zimbabwe
