HYDROGEN|Element #1: 'H'
HELIUM|Element #2: 'He'
LITHIUM|Element #3: 'Li'
BERYLLIUM|Element #4: 'Be'
BORON|Element #5: 'B'
CARBON|Element #6: 'C'
NITROGEN|Element #7: 'N'
OXYGEN|Element #8: 'O'
FLUORINE|Element #9: 'F'
NEON|Element #10: 'Ne'
SODIUM|Element #11: 'Na'
MAGNESIUM|Element #12: 'Mg'
ALUMINUM|Element #13: 'Al'||ALUMINIUM
SILICON|Element #14: 'Si'
PHOSPHORUS|Element #15: 'P'
SULFUR|Element #16: 'S'||SULPHUR
CHLORINE|Element #17: 'Cl'
ARGON|Element #18: 'Ar'
POTASSIUM|Element #19: 'K'
CALCIUM|Element #20: 'Ca'
SCANDIUM|Element #21: 'Sc'
TITANIUM|Element #22: 'Ti'
VANADIUM|Element #23: 'V'
CHROMIUM|Element #24: 'Cr'
MANGANESE|Element #25: 'Mn'
IRON|Element #26: 'Fe'
COBALT|Element #27: 'Co'
NICKEL|Element #28: 'Ni'
COPPER|Element #29: 'Cu'
ZINC|Element #30: 'Zn'
GALLIUM|Element #31: 'Ga'
GERMANIUM|Element #32: 'Ge'
ARSENIC|Element #33: 'As'
SELENIUM|Element #34: 'Se'
BROMINE|Element #35: 'Br'
KRYPTON|Element #36: 'Kr'
RUBIDIUM|Element #37: 'Rb'
STRONTIUM|Element #38: 'Sr'
YTTRIUM|Element #39: 'Y'
ZIRCONIUM|Element #40: 'Zr'
NIOBIUM|Element #41: 'Nb'
MOLYBDENUM|Element #42: 'Mo'
TECHNETIUM|Element #43: 'Tc'
RUTHENIUM|Element #44: 'Ru'
RHODIUM|Element #45: 'Rh'
PALLADIUM|Element #46: 'Pd'
SILVER|Element #47: 'Ag'
CADMIUM|Element #48: 'Cd'
INDIUM|Element #49: 'In'
TIN|Element #50: 'Sn'
ANTIMONY|Element #51: 'Sb'
TELLURIUM|Element #52: 'Te'
IODINE|Element #53: 'I'
XENON|Element #54: 'Xe'
CESIUM|Element #55: 'Cs'||CAESIUM
BARIUM|Element #56: 'Ba'
LANTHANUM|Element #57: 'La'
CERIUM|Element #58: 'Ce'
PRASEODYMIUM|Element #59: 'Pr'
NEODYMIUM|Element #60: 'Nd'
PROMETHIUM|Element #61: 'Pm'
SAMARIUM|Element #62: 'Sm'
EUROPIUM|Element #63: 'Eu'
GADOLINIUM|Element #64: 'Gd'
TERBIUM|Element #65: 'Tb'
DYSPROSIUM|Element #66: 'Dy'
HOLMIUM|Element #67: 'Ho'
ERBIUM|Element #68: 'Er'
THULIUM|Element #69: 'Tm'
YTTERBIUM|Element #70: 'Yb'
LUTETIUM|Element #71: 'Lu'
HAFNIUM|Element #72: 'Hf'
TANTALUM|Element #73: 'Ta'
TUNGSTEN|Element #74: 'W'
RHENIUM|Element #75: 'Re'
OSMIUM|Element #76: 'Os'
IRIDIUM|Element #77: 'Ir'
PLATINUM|Element #78: 'Pt'
GOLD|Element #79: 'Au'
MERCURY|Element #80: 'Hg'
THALLIUM|Element #81: 'Tl'
LEAD|Element #82: 'Pb'
BISMUTH|Element #83: 'Bi'
POLONIUM|Element #84: 'Po'
ASTATINE|Element #85: 'At'
RADON|Element #86: 'Rn'
FRANCIUM|Element #87: 'Fr'
RADIUM|Element #88: 'Ra'
ACTINIUM|Element #89: 'Ac'
THORIUM|Element #90: 'Th'
PROTACTINIUM|Element #91: 'Pa'
URANIUM|Element #92: 'U'
NEPTUNIUM|Element #93: 'Np'
PLUTONIUM|Element #94: 'Pu'
AMERICIUM|Element #95: 'Am'
CURIUM|Element #96: 'Cm'
BERKELIUM|Element #97: 'Bk'
CALIFORNIUM|Element #98: 'Cf'
EINSTEINIUM|Element #99: 'Es'
FERMIUM|Element #100: 'Fm'
MENDELEVIUM|Element #101: 'Md'
NOBELIUM|Element #102: 'No'
LAWRENCIUM|Element #103: 'Lr'
RUTHERFORDIUM|Element #104: 'Rf'
DUBNIUM|Element #105: 'Db'
SEABORGIUM|Element #106: 'Sg'
BOHRIUM|Element #107: 'Bh'
HASSIUM|Element #108: 'Hs'
MEITNERIUM|Element #109: 'Mt'
DARMSTADTIUM|Element #110: 'Ds'
ROENTGENIUM|Element #111: 'Rg'
COPERNICIUM|Element #112: 'Cn'
NIHONIUM|Element #113: 'Nh'
FLEROVIUM|Element #114: 'Fl'
MOSCOVIUM|Element #115: 'Mc'
LIVERMORIUM|Element #116: 'Lv'
TENNESSINE|Element #117: 'Ts'
OGANESSON|Element #118: 'Og'
