JUNEAU|Alaska|Capital of Alaska
RALEIGH|North Carolina|Capital of North Carolina
HONOLULU|Hawaii|Capital of Hawaii
SPRINGFIELD|Illinois|Capital of Illinois
CHEYENNE|Wyoming|Capital of Wyoming
LITTLEROCK|Arkansas|Capital of Arkansas
FRANKFORT|Kentucky|Capital of Kentucky
TALLAHASSEE|Florida|Capital of Florida
SALTLAKECITY|Utah|Capital of Utah
MADISON|Wisconsin|Capital of Wisconsin
TOPEKA|Kansas|Capital of Kansas
INDIANAPOLIS|Indiana|Capital of Indiana
SAINTPAUL|Minnesota|Capital of Minnesota
MONTGOMERY|Alabama|Capital of Alabama
PROVIDENCE|Rhode Island|Capital of Rhode Island
NASHVILLE|Tennessee|Capital of Tennessee
MONTPELIER|Vermont|Capital of Vermont
CHARLESTON|West Virginia|Capital of West Virginia
LINCOLN|Nebraska|Capital of Nebraska
OLYMPIA|Washington|Capital of Washington
JACKSON|Mississippi|Capital of Mississippi
HELENA|Montana|Capital of Montana
COLUMBIA|South Carolina|Capital of South Carolina
DENVER|Colorado|Capital of Colorado
BATONROUGE|Louisiana|Capital of Louisiana
SANTAFE|New Mexico|Capital of New Mexico
LANSING|Michigan|Capital of Michigan
OKLAHOMACITY|Oklahoma|Capital of Oklahoma
CARSONCITY|Nevada|Capital of Nevada
ATLANTA|Georgia|Capital of Georgia
HARTFORD|Connecticut|Capital of Connecticut
PHOENIX|Arizona|Capital of Arizona
HARRISBURG|Pennsylvania|Capital of Pennsylvania
BOISE|Idaho|Capital of Idaho
TRENTON|New Jersey|Capital of New Jersey
AUSTIN|Texas|Capital of Texas
SACRAMENTO|California|Capital of California
BISMARCK|North Dakota|Capital of North Dakota
JEFFERSONCITY|Missouri|Capital of Missouri
DESMOINES|Iowa|Capital of Iowa
PIERRE|South Dakota|Capital of South Dakota
SALEM|Oregon|Capital of Oregon
BOSTON|Massachusetts|Capital of Massachusetts
AUGUSTA|Maine|Capital of Maine
DOVER|Delaware|Capital of Delaware
ALBANY|New York|Capital of New York
CONCORD|New Hampshire|Capital of New Hampshire
COLUMBUS|Ohio|Capital of Ohio
ANNAPOLIS|Maryland|Capital of Maryland
RICHMOND|Virginia|Capital of Virginia
